source_table,object_id,host_id,disposition,period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg
KOI,K00749.03,10601284,CONFIRMED,8.10904807,3.596,217.4,1.3,5185.0,0.91,4.44
KOI,K00750.01,10662202,CONFIRMED,21.67699193,3.4555,857.2,2.95,4954.0,0.828,4.5
KOI,K00751.01,10682541,CONFIRMED,4.99677968,2.1717,934.7,2.78,5339.0,0.847,4.552
KOI,K00769.01,11460018,CONFIRMED,4.280963604,2.875,750.8,2.3,5644.0,0.831,4.564
KOI,K00770.01,11463211,FALSE POSITIVE,1.50635409,1.5155,2211.7,4.53,5714.0,0.831,4.563
KOI,K00771.01,11465813,FALSE POSITIVE,670.645531,53.412,18091.0,14.14,5520.0,0.983,4.466
KOI,K00773.01,11507101,CONFIRMED,38.3775486,5.588,724.2,2.82,5481.0,1.036,4.369
KOI,K00757.02,10910878,CONFIRMED,41.19725502,4.6297,2213.9,3.86,5031.0,0.848,4.485
KOI,K00757.03,10910878,CONFIRMED,6.252962249,2.5819,1036.9,2.65,5031.0,0.848,4.485
KOI,K00758.01,10987985,CONFIRMED,16.01308419,3.2554,1121.9,3.1,5015.0,0.826,4.499
KOI,K00759.01,11018648,CONFIRMED,32.62876672,4.7971,1804.8,3.36,5586.0,0.798,4.56
KOI,K00759.02,11018648,CONFIRMED,91.7732862,6.473,652.0,2.12,5586.0,0.798,4.56
